rank,ratio_usd_per_100,website,name,price_usd,value,needs_check,flags,price_outlier_hint,cross_shop_median_usd,eur_per_100_from_usd,usd_to_eur_rate,fx_source,fx_timestamp
153,4.1666,Bloxxer,Chroma Evergreen,1999.95,48000,False,,False,2392.59,3.6021,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
154,4.2000,StarPets,Chill,0.42,10,False,,True,0.99,3.6310,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
155,4.2000,StarPets,Phantom,1.47,35,False,,True,3.69,3.6310,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
156,4.2121,BuyBlox,Makeshift,1.39,33,False,,False,1.74,3.6415,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
157,4.2143,StarPets,Chroma Heat,1.18,28,False,,True,2.69,3.6434,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
158,4.2188,StarPets,Chroma Fang,1.35,32,False,,False,2.39,3.6472,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
159,4.2500,StarPets,Shark,0.85,20,False,,True,1.99,3.6742,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
160,4.2833,StarPets,Chroma Lightbringer,2.57,60,False,,False,4.29,3.7031,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
161,4.3000,StarPets,Nightblade,0.86,20,False,,True,3.39,3.7175,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
162,4.3043,StarPets,Green Luger,0.99,23,False,,False,2.19,3.7212,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
163,4.3750,StarPets,Handsaw,0.35,8,False,,False,0.69,3.7823,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
164,4.3786,Bloxxer,Alienbeam,91.95,2100,False,,False,95.52,3.7854,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
